Generation	Treatment	Rep	lambda	surv	epr	hf	sex	dev.time	lambda.stand	surv.stand	epr.stand	hf.stand	sex.stand	dev.stand	lambda.rel	surv.rel	epr.rel	hf.rel	sex.rel	dev.rel
0	1	1	1.16196947044961	0.4	36.5	1	0.813725490333333	14	0.2957021289851	-0.393631058524393	0.459868166529758	0.345918775181668			1.1009337966713	0.781893004168854	1.10942249240122	1.11731843575419	1	1
0	1	1	1.18013073776809	0.4	47	0.98	0.813725490333333	14	0.346113728674938	-0.393631058524393	1.80115031890822	0.280029484670874			1.11814109298138	0.781893004168854	1.42857142857143	1.09497206703911	1	1
0	1	1	1.15794716165521	0.4	35	0.99	0.813725490333333	14	0.284537103041901	-0.393631058524393	0.268256430475692	0.312974129926271			1.09712277081819	0.781893004168854	1.06382978723404	1.10614525139665	1	1
0	1	1	1.15418685170074	0.4	33	1	0.813725490333333	14	0.27409932704256	-0.393631058524393	0.0127741157369379	0.345918775181668			1.09355998158825	0.781893004168854	1.00303951367781	1.11731843575419	1	1
0	1	1	1.17005298296951	0.4	40.5	1	0.813725490333333	14	0.31814014446579	-0.393631058524393	0.970832796007266	0.345918775181668			1.10859270024432	0.781893004168854	1.23100303951368	1.11731843575419	1	1
0	1	1	0	0.4	16.5	0	0.813725490333333	14	-2.92966418322779	-0.393631058524393	-2.09495498085778	-2.94854575035803			0	0.781893004168854	0.501519756838906	0	1	1
0	1	1	1.14142291989539	0.4	28.5	0.98	0.813725490333333	14	0.238669518684145	-0.393631058524393	-0.562061092425259	0.280029484670874			1.0814665107525	0.781893004168854	0.866261398176292	1.09497206703911	1	1
0	1	1	1.14814088559014	0.4	30.5	1	0.813725490333333	14	0.257317082832336	-0.393631058524393	-0.306578777686505	0.345918775181668			1.08783159664014	0.781893004168854	0.927051671732523	1.11731843575419	1	1
0	1	1	1.15534453326167	0.4	33.5	1	0.813725490333333	14	0.277312791080861	-0.393631058524393	0.0766446944216265	0.345918775181668			1.09465685270976	0.781893004168854	1.01823708206687	1.11731843575419	1	1
0	1	1	1.11688355162612	0.24	28	1	0.813725490333333	14	0.170553743053599	-0.958083142623664	-0.625931671109948	0.345918775181668			1.05821614095909	0.469135802501313	0.851063829787234	1.11731843575419	1	1
0	1	1	1.13679865388543	0.24	36.5	1	0.813725490333333	14	0.225833594689115	-0.958083142623664	0.459868166529758	0.345918775181668			1.07708514715851	0.469135802501313	1.10942249240122	1.11731843575419	1	1
0	1	1	1.15456650817554	0.24	47	0.98	0.813725490333333	14	0.275153168159022	-0.958083142623664	1.80115031890822	0.280029484670874			1.09391969555223	0.469135802501313	1.42857142857143	1.09497206703911	1	1
0	1	1	1.13286347715379	0.24	35	0.99	0.813725490333333	14	0.21491042778532	-0.958083142623664	0.268256430475692	0.312974129926271			1.07335667651456	0.469135802501313	1.06382978723404	1.10614525139665	1	1
0	1	1	1.12918462379048	0.24	33	1	0.813725490333333	14	0.204698756990733	-0.958083142623664	0.0127741157369379	0.345918775181668			1.06987106514208	0.469135802501313	1.00303951367781	1.11731843575419	1	1
0	1	1	1.14470705972998	0.24	40.5	1	0.813725490333333	14	0.247785553361875	-0.958083142623664	0.970832796007266	0.345918775181668			1.08457814202066	0.469135802501313	1.23100303951368	1.11731843575419	1	1
0	1	1	0	0.24	16.5	0	0.813725490333333	14	-2.92966418322779	-0.958083142623664	-2.09495498085778	-2.94854575035803			0	0.469135802501313	0.501519756838906	0	1	1
0	1	1	1.11669718684518	0.24	28.5	0.98	0.813725490333333	14	0.17003643627273	-0.958083142623664	-0.562061092425259	0.280029484670874			1.0580395655059	0.469135802501313	0.866261398176292	1.09497206703911	1	1
0	1	1	1.12326962661478	0.24	30.5	1	0.813725490333333	14	0.188280053132744	-0.958083142623664	-0.306578777686505	0.345918775181668			1.0642667696218	0.469135802501313	0.927051671732523	1.11731843575419	1	1
0	1	1	1.1303172274204	0.24	33.5	1	0.813725490333333	14	0.207842610324179	-0.958083142623664	0.0766446944216265	0.345918775181668			1.07094417562056	0.469135802501313	1.01823708206687	1.11731843575419	1	1
